"";"1";"2";"3";"4";"class"
"AL";5,79709632470654e-21;4,27328063180533e-21;8,31256312531928e-05;0,999916874368747;4
"AK";3,34824604576699e-60;1,35490518993607e-32;1;4,37920142942456e-63;3
"AZ";1,20497503308608e-07;4,50002802516383e-05;0,999954720081368;1,59140876617437e-07;3
"AR";2,02797820286780e-14;7,3246646881115e-12;0,000179881484497606;0,999820118508158;4
"CA";8,13263915705641e-18;1,80445632872578e-17;1;8,53857568817368e-33;3
"CO";2,57138291290765e-07;0,998409569337575;0,00159017352413363;9,79994985234035e-27;2
"CT";1,30427795855807e-06;0,997868934097384;0,00212976162465730;1,5169019566004e-25;2
"DE";0,0640930228217494;0,921005907878177;0,0149010692907852;9,28828747375237e-12;2
"FL";0,0115031910068177;6,94826700127685e-07;0,98849595597333;1,58193152587293e-07;3
"GA";2,00983195247570e-14;5,21048506669902e-18;0,000137857772133278;0,999862142227847;4
"HI";5,53473452599801e-17;7,40772051494526e-06;0,999992592279485;5,36857483641648e-22;3
"ID";3,57582982087024e-08;0,999907907858973;9,20563827283777e-05;2,29416457844578e-20;2
"IL";0,997936498147439;5,05523860823647e-07;0,00206299632869935;1,02310690623885e-15;1
"IN";0,92066444832905;0,0790486269864193;0,000286924684241742;2,88781284974224e-13;1
"IA";1,40936445398775e-09;0,999970782268596;2,92163220389538e-05;8,88805537562384e-29;2
"KS";6,24024989167154e-08;0,999881465931635;0,000118471665866158;3,70795160963087e-25;2
"KY";2,08044287518829e-09;1,97038519660254e-10;0,000178502362470406;0,999821495360048;4
"LA";2,61292156164625e-26;1,32116260068184e-23;0,000642714006276184;0,999357285993724;4
"ME";1,29707636891215e-08;0,999000930394464;0,000999056634771917;3,80800526254529e-16;2
"MD";0,995817337158812;0,00106234103211182;0,00312032180897215;1,04632786443327e-13;1
"MA";0,00113659447116516;0,997246009100727;0,00161739642810758;1,86149724253644e-19;2
"MI";0,9995349637458;5,97198731937972e-06;0,000459064266568288;3,13267118355464e-13;1
"MN";6,19691635475652e-10;0,99991557152912;8,44278511892655e-05;5,77347292164447e-30;2
"MS";8,65581045568801e-27;5,54335516203363e-23;2,84147794814203e-05;0,999971585220519;4
"MO";0,99157693297176;0,00612167803348755;0,00230129307797858;9,59167739921964e-08;1
"MT";2,12388527663205e-07;0,99841938986933;0,00158039774214276;5,38886168371265e-20;2
"NE";2,81051922036456e-10;0,999973031672081;2,69680468669363e-05;2,47001816952125e-27;2
"NV";3,81393060541285e-09;0,000136959304518911;0,99986303688155;8,20453934232345e-24;3
"NH";1,91900977554388e-08;0,999959705573112;4,02752367898216e-05;3,34716025548222e-22;2
"NJ";0,98786431462867;0,0100372614336994;0,00209842393763144;7,5182150699669e-17;1
"NM";3,89799310442559e-10;2,02112035179965e-05;0,993618086479828;0,00636170192685472;3
"NY";0,000116541433654125;1,86759568835261e-11;0,999883458547668;1,41414636167504e-15;3
"NC";4,84623766996839e-11;3,09120651406637e-14;3,61767868222488e-05;0,999963823164684;4
"ND";1,22933813698499e-11;0,999174740233157;0,000825259754549644;1,54054347786253e-29;2
"OH";0,999551495023307;0,000188659889842770;0,000259845086848492;1,52163197115441e-15;1
"OK";0,00473146510191663;0,976533637464018;0,0187347561081741;1,41325891081244e-07;2
"OR";1,35516605460344e-07;0,979868675387892;0,0201311890955023;3,62342319592652e-21;2
"PA";0,998317071075113;9,22278099798224e-05;0,00159070111450406;4,03531488744114e-13;1
"RI";1,72226271625654e-06;0,997565583373558;0,00243269436370493;2,06398114840821e-14;2
"SC";8,39396780743866e-22;3,49002472551860e-21;9,87692337183822e-06;0,999990123076628;4
"SD";1,58552541651876e-11;0,99996120923975;3,87907443943817e-05;2,37023204800994e-25;2
"TN";9,08729795236345e-09;8,13872753457687e-11;0,000142563524006504;0,999857427307308;4
"TX";3,09478064238363e-17;7,26622349989395e-17;0,999999999647805;3,52194669635448e-10;3
"UT";8,25307203681471e-14;0,999314731951013;0,000685268048904942;5,34654331338978e-29;2
"VT";1,23264955210548e-08;0,999884491100243;0,000115496573261798;1,37441752673795e-19;2
"VA";0,993533997999836;3,66126368173307e-05;0,00635063915078395;7,87502125628053e-05;1
"WA";9,36486360061345e-07;0,790649735800131;0,209349327713509;3,88998040010323e-22;2
"WV";2,89442020487041e-07;8,09948584605888e-06;0,0122176255754136;0,98777398549672;4
"WI";9,76505589505021e-07;0,999942767340304;5,62561541067127e-05;1,42551421479074e-23;2
"WY";1,16922549101910e-06;0,994288274424748;0,00571055634976075;4,24633421264845e-21;2
