"";"1";"2";"3";"4";"class"
"AL";7,5405666914555e-23;6,75258582862309e-08;2,06828932711426e-95;0,999999932474142;4
"AK";2,53464913565836e-109;1;8,09443797438635e-80;0;2
"AZ";1,46206678197145e-12;0,999999999998538;2,09369722160373e-52;1,68700873671577e-43;2
"AR";1,00950999490113e-13;8,77251622940373e-06;7,1485641570314e-70;0,99999122748367;4
"CA";3,08384506957143e-16;1;6,0311498774289e-61;7,20089377176863e-137;2
"CO";3,4382014311759e-08;6,40722517891257e-06;0,999993558392807;4,38585626053093e-76;3
"CT";0,999942143898161;5,7838214781617e-05;1,78870571650824e-08;3,66429091953486e-43;1
"DE";0,999771474528916;0,000116494552976269;0,000112030918107319;3,27288068090671e-32;1
"FL";4,41605019272041e-07;0,99999955839498;5,47894457884849e-25;3,6918793061894e-22;2
"GA";9,2206943498797e-16;1,74167159072752e-06;4,60712539969019e-83;0,999998258328408;4
"HI";2,11865527121428e-16;1;5,19037928538667e-61;1,76751271690586e-58;2
"ID";3,24588008871746e-05;2,54139872230024e-07;0,99996728705924;2,89938645056746e-49;3
"IL";0,998576387625106;0,00142361237489420;5,34734624015221e-17;7,25361609262281e-34;1
"IN";0,995456373910601;2,37023846574086e-05;0,00451992370474115;6,16157839456488e-23;1
"IA";3,51570348112702e-05;1,63285170023806e-09;0,999964841332337;2,9187061408893e-49;3
"KS";2,31604740134412e-05;8,36528476567479e-08;0,999976755873139;8,534787592682e-54;3
"KY";2,14838333736453e-09;3,95484903041174e-06;4,18054438377662e-45;0,999996043002586;4
"LA";7,63851673922757e-35;1,14959019578161e-07;3,34741617221595e-189;0,99999988504098;4
"ME";0,00106638120131040;8,13267762466243e-08;0,998933537471913;9,02935984142718e-29;3
"MD";0,999616512825902;0,000382819071641423;6,68102456765253e-07;1,61479615708929e-27;1
"MA";0,999972982021892;2,7017865176402e-05;1,12932005504802e-10;3,10692003590415e-45;1
"MI";0,999448374930701;0,000551625067465555;1,8333911680019e-12;1,76030842834636e-27;1
"MN";2,23402204481566e-06;1,87578931360973e-09;0,999997764102166;1,8367352665385e-48;3
"MS";5,45049348021636e-26;7,84404279265104e-08;3,29020291819569e-131;0,999999921559572;4
"MO";0,999123520986779;0,000546578721524517;0,000329900286707950;4,98853736607199e-12;1
"MT";2,33065682396326e-08;1,67091834110532e-06;0,99999830577509;4,23071787437269e-68;3
"NE";3,87004923033036e-06;1,60271423230101e-09;0,999996128348055;2,77252469154009e-52;3
"NV";3,97076942239151e-10;0,0107002167457577;0,989299782857165;4,92644744072217e-82;3
"NH";5,60426062055884e-05;5,86087431211558e-08;0,999943898785051;9,96300799088169e-44;3
"NJ";0,99997740678489;2,25932151057583e-05;3,29660907292793e-15;2,32602945105819e-32;1
"NM";9,62685511602986e-11;0,999999999903731;5,88213082374328e-93;1,16657891194934e-33;2
"NY";0,065928857350082;0,934071142649918;7,61523618514318e-59;1,19625335115057e-53;2
"NC";4,16493977623613e-12;4,16242532726638e-06;2,52594663682346e-63;0,999995837570508;4
"ND";2,15332810063446e-05;3,33138968261982e-08;0,999978433405097;5,62558267752456e-31;3
"OH";0,999931150086318;6,88499132602551e-05;4,22133794730748e-13;6,16163441006046e-32;1
"OK";0,995624084146216;0,00437590376834322;1,20854399271769e-08;6,33025631732808e-16;1
"OR";2,54845639543887e-08;1,87270816533771e-06;0,99999810180727;1,24765383405734e-54;3
"PA";0,999947562953144;5,24370468558181e-05;2,41725440472370e-20;6,09229960627761e-27;1
"RI";0,999989174456455;1,08255435448209e-05;6,16380461985243e-18;3,66156814623927e-16;1
"SC";7,14885832993905e-23;8,48437031451345e-08;5,78895067366931e-118;0,999999915156297;4
"SD";1,1817025794517e-06;3,780657294229e-10;0,999998817919355;2,69110330629932e-33;3
"TN";1,05700614737608e-09;1,19183329742076e-05;1,98564528485369e-52;0,99998808061002;4
"TX";2,05276752179827e-31;1;3,60890466208377e-117;3,05608315865984e-124;2
"UT";4,45865420861055e-10;5,00824765209448e-08;0,999999949471658;5,91682958387915e-86;3
"VT";4,17587599056751e-05;1,07244521628728e-06;0,999957168794878;3,74423355330248e-40;3
"VA";0,945804497714052;0,0541954624107378;3,66267684871733e-26;3,98752106620167e-08;1
"WA";7,53010760523704e-09;1,76650764411067e-05;0,999982327393451;4,72570753192414e-64;3
"WV";0,000134674336774832;0,000241240173453626;2,05786985310514e-27;0,999624085489772;4
"WI";0,0149492207985846;1,52975097986581e-07;0,985050626226318;5,75129290010966e-32;3
"WY";2,43464980635058e-08;3,09695876454901e-06;0,999996878694737;9,9901598355312e-68;3
