"1";"3";"2";"4";"Adjency and distance matrix descriptors";"Atom and bond counts";"Kier and Hall connectivity and Kappa shape indices";"Partial charge descriptor";"Pharmacophore feature descriptors";"Physical properties"
"1";"32";"8";"";"2";"1.75521459864998";"1.96165850602345";"1.55814461804655";"1.75521459864998";"";"1.75521459864998"
"3";"";"27";"";"";"-Inf";"-Inf";"-Inf";"-Inf";"-1.95606252051933";"-Inf"
"2";"";"2";"13";"";"-1.59885580310356";"-2.13208527516526";"-1.17668066203793";"-1.17668066203793";"0.157061890034717";"-1.59885580310356"
"4";"";"";"3";"13";"Inf";"Inf";"Inf";"Inf";"Inf";"Inf"
"Adjency and distance matrix descriptors";"2.68350909218609";"-4.02535169073515";"-0.606135803570316";"Inf";"";"";"";"";"";""
"Atom and bond counts";"3.074308705305";"-Inf";"-0.931558204004943";"Inf";"";"";"";"";"";""
"Kier and Hall connectivity and Kappa shape indices";"2.68350909218609";"-Inf";"-0.298942477270161";"Inf";"";"";"";"";"";""
"Partial charge descriptor";"2.3575672274114";"-3.50530711541833";"-0.606135803570316";"Inf";"";"";"";"";"";""
"Pharmacophore feature descriptors";"0.369097463937289";"-1.98100146886658";"0.606135803570315";"Inf";"";"";"";"";"";""
"Physical properties";"2.07247287236374";"-3.50530711541833";"-0.606135803570316";"Inf";"";"";"";"";"";""
"Chi2";"5.0e-04";"199.0";"";"";"";"";"";"";"";""
"Cramer's V";"0.814425058903167";"";"";"";"";"";"";"";"";""
"t-test (mapping)";"1.0e+00";"";"";"";"";"";"";"";"";""
