"4";"5";"2";"1";"3";"Adjency and distance matrix descriptors";"Atom and bond counts";"Kier and Hall connectivity and Kappa shape indices";"Partial charge descriptor";"Pharmacophore feature descriptors";"Physical properties"
"3";"30";"";"";"";"";"-1.65494731656307";"-1.65494731656307";"-2.19722457733622";"-1.41706601978664";"-3.41921588716483";"-1.41706601978664"
"1";"";"29";"";"";"";"Inf";"Inf";"Inf";"3.33839648042313";"1.83208751461503";"3.33839648042313"
"4";"";"";"11";"";"1";"Inf";"Inf";"Inf";"Inf";"Inf";"Inf"
"2";"";"";"";"5";"8";"-1.91238745701667";"-1.91238745701667";"-0.925999546001116";"-1.36524095192206";"-0.177140198051957";"-1.36524095192206"
"5";"7";"";"";"4";"5";"-Inf";"-Inf";"-Inf";"-Inf";"-0.298942477270161";"-Inf"
"Adjency and distance matrix descriptors";"-2.22075507474641";"Inf";"Inf";"-Inf";"-1.05605267424931";"";"";"";"";"";""
"Atom and bond counts";"-2.22075507474641";"Inf";"Inf";"-Inf";"-1.05605267424931";"";"";"";"";"";""
"Kier and Hall connectivity and Kappa shape indices";"-2.77258872223978";"Inf";"Inf";"-Inf";"-0.680877087968131";"";"";"";"";"";""
"Partial charge descriptor";"-1.98100146886658";"3.33839648042313";"Inf";"-Inf";"-1.05605267424931";"";"";"";"";"";""
"Pharmacophore feature descriptors";"-2.77258872223978";"1.83208751461503";"Inf";"-Inf";"1.05605267424931";"";"";"";"";"";""
"Physical properties";"-1.98100146886658";"3.33839648042313";"Inf";"-Inf";"-1.05605267424931";"";"";"";"";"";""
"Chi2";"5.0e-04";"260.4";"";"";"";"";"";"";"";"";""
"Cramer's V";"0.806883192908358";"";"";"";"";"";"";"";"";"";""
"t-test (mapping)";"1.0e+00";"";"";"";"";"";"";"";"";"";""
