"";"1";"2";"3";"4";"class"
"1";1;5,94770139283284e-23;1,74053551473015e-40;1,32570746312699e-20;1
"2";0,9988338897313;3,33568826880978e-18;0,00116611026869983;7,06016924627377e-35;1
"3";3,56474468531389e-12;3,01128018166354e-30;2,58260970720078e-130;0,999999999996435;4
"4";0,000500517892369196;4,89668555783095e-22;4,06502329487265e-97;0,99949948210763;4
"5";3,17589793431402e-284;1,07569716663934e-100;0;1;4
"6";0;5,82455021916853e-124;0;1;4
"7";4,54038355530546e-36;7,63989160467607e-32;2,55449392860256e-159;1;4
"8";1;6,03300936312221e-41;8,3595977074768e-64;3,47176781541091e-28;1
"9";5,65197013108722e-47;1,19880455509604e-20;1;3,53567798427066e-61;3
"10";0,99999999998632;9,7752306433953e-22;1,43422165002214e-73;1,36788956530058e-11;1
"11";7,1377349124874e-47;4,1722685102219e-30;6,0400359610288e-167;1;4
"12";9,95289052118258e-09;0,99999999004711;4,92646984726058e-23;3,80169240217110e-18;2
"13";1;3,06406018674897e-30;1,17363847947983e-20;3,27833062613718e-35;1
"14";2,27863881511428e-37;1,95833514452311e-36;1;5,56512587627897e-69;3
"15";0,999999999989096;2,70436306572341e-32;1,09034634312873e-11;7,7536501133916e-41;1
"16";1;3,25943629531846e-40;1,64492664489709e-21;3,35865665121412e-42;1
"17";8,44329270327808e-08;2,81001384371768e-38;0,999999915567073;1,14888438590115e-52;3
"18";0,999997458254592;3,91897780257526e-28;2,54174540839046e-06;2,53364373875718e-39;1
"19";4,21908826572337e-13;2,99672703549336e-38;0,999999999999578;5,11578492252141e-55;3
"20";1,45895332035064e-07;3,49963979534576e-35;0,999999854104668;3,68922551546407e-50;3
"21";0,999999999778731;3,82351031871005e-38;2,21268783551190e-10;1,0735789998598e-44;1
"22";1;4,45212055947246e-25;1,01112586363502e-26;9,04527448204148e-27;1
"23";1;8,67379945000698e-29;9,6273194370529e-69;1,40055982457049e-18;1
"24";4,58630173944037e-44;9,44776989543053e-35;1;2,34715476757993e-71;3
"25";7,00309764105838e-40;2,23393556505859e-36;1;1,03699896422779e-69;3
"26";3,06013264224687e-22;3,41647921768401e-40;1;5,11734104806933e-61;3
"27";1,81072280496636e-132;1;5,6144902174649e-125;1,12849618336417e-61;2
"28";1,93237625077716e-48;1;2,17508060752742e-40;4,37185096543147e-29;2
"29";2,76492416742665e-21;4,51131595637713e-12;0,999999999995489;2,25218921474290e-43;3
"30";2,81502334712922e-18;1,83864203207728e-44;1;3,07462436510273e-62;3
"31";4,87907586190603e-12;1,52637017626235e-38;0,99999999999512;3,07565395860219e-54;3
"32";0,999998739801904;3,36236243665706e-22;1,26019809612722e-06;1,72317211549568e-34;1
"33";1,43640230562605e-14;1,42358657718696e-30;0,999999999999986;1,59136646375078e-49;3
"34";0,999999944802768;6,88166772689282e-41;5,51972321382372e-08;4,99437562781013e-46;1
"35";7,7281923227895e-09;3,59939651096161e-41;0,999999992271808;2,97876155219132e-54;3
"36";1,64422442875087e-14;1,52266616623634e-43;0,999999999999984;1,67043382032356e-59;3
"37";1;2,95969978087698e-39;5,30584471863076e-16;2,68328681303867e-43;1
"38";1;3,76488381843673e-42;4,50484760155945e-38;1,36875629600169e-38;1
"39";1;3,41068551314967e-23;6,61218313167475e-31;1,73232188451316e-29;1
