"";"1";"2";"3";"4";"5";"class"
"1";1;5,60281432734e-30;2,09301137870007e-26;3,41352311035411e-46;1,39587873323219e-27;1
"2";3,10729877693049e-18;8,13163149855489e-38;0,99999999999988;3,25603559272393e-29;1,1899790679439e-13;3
"3";1;2,59267327645355e-16;6,3139559919314e-112;4,02460553536101e-58;3,19938165036100e-52;1
"4";1;1,75867412753531e-18;1,76751662799667e-89;5,25061208318036e-35;1,31368213279973e-39;1
"5";2,91854764555427e-149;1;0;0;1,00136059299290e-176;2
"6";2,17315471071601e-233;1;0;0;2,66127653540766e-224;2
"7";5,77796704550629e-17;1;1,54532025118273e-156;2,12508061949260e-30;2,18982521014508e-37;2
"8";1;9,23604170958982e-40;1,36320028060132e-39;1,01369149638510e-31;5,08552632682868e-48;1
"9";8,6645991816388e-66;8,52449795416786e-48;4,46607860234777e-26;5,51402594577381e-71;1;5
"10";1;6,09532131500184e-22;1,24499608312828e-60;3,01671473190767e-38;7,79936225984044e-33;1
"11";1,91588902478852e-29;1;3,7785700395015e-174;1,67741230302089e-43;3,78753349659997e-37;2
"12";1,0537585086473e-21;1,74693301835654e-20;8,30432478241785e-35;2,40902670145483e-47;1;5
"13";1,30732577466459e-06;1,26763582510994e-40;0,999998692674225;2,64103086729518e-41;1,04980312237369e-27;3
"14";1,18023790723926e-47;4,89212801168639e-51;0,999999996726032;2,15918197379155e-50;3,27396822604104e-09;3
"15";1,14949909428456e-14;1,19651472394211e-44;0,999999999999976;1,20616985428128e-14;3,8965089037724e-26;3
"16";5,0377692499187e-09;7,80310483509708e-49;0,99999999496223;1,94535326683725e-29;5,18545366479878e-37;3
"17";1,30990085789896e-32;3,53104470475125e-62;1;7,00564653231977e-33;4,80981201109827e-36;3
"18";1,96670148067673e-19;2,07300022782203e-48;1;1,99432463721130e-34;2,24824541455236e-27;3
"19";4,53332707968741e-37;3,2499865202525e-65;1;3,58579725828119e-51;2,79066243475179e-37;3
"20";4,25477474989832e-33;4,63482039539471e-64;1;1,5949711133816e-50;3,72778478057051e-38;3
"21";1,937637908566e-19;1,03751775594029e-56;1;1,04309829123793e-31;2,47659935367471e-39;3
"22";0,00716204176447544;3,99590755732426e-22;2,67071343034296e-14;0,992837958233859;1,63896940304653e-12;4
"23";1;1,19868675721488e-35;4,78590739719139e-46;2,81787045260485e-64;3,67216441456751e-44;1
"24";7,89725807354996e-51;2,28893566634137e-46;0,00292370759745501;2,47348944745117e-48;0,997076292402545;5
"25";7,42049510634069e-47;5,12895726824899e-48;0,999935739159455;4,53696820889588e-42;6,42608405451889e-05;3
"26";4,87217093534725e-42;7,56888586179637e-66;1;6,99557167961024e-61;2,1167228405508e-34;3
"27";6,59667572511792e-138;5,23108066052999e-44;7,16927750169663e-196;1,32958275232390e-208;1;5
