"modelName";"G";"rseed";"BIC";"relative_BIC"
"1";"EII";"3";"6013";"-23055.64";"20.5216292"
"2";"VII";"3";"6013";"-20650.41";" 7.9484522"
"3";"EII";"4";"6013";"-22476.07";"17.4919513"
"4";"VII";"4";"6013";"-20643.88";" 7.9143277"
"5";"EII";"5";"6013";"-22582.73";"18.0495138"
"6";"VII";"5";"6013";"-19460.73";" 1.7294831"
"7";"EII";"3";"6014";"-23055.64";"20.5216297"
"8";"VII";"3";"6014";"-20805.14";" 8.7573023"
"9";"EII";"4";"6014";"-22837.39";"19.3807461"
"10";"VII";"4";"6014";"-19879.15";" 3.9167488"
"11";"EII";"5";"6014";"-22598.51";"18.1320160"
"12";"VII";"5";"6014";"-19143.15";" 0.0693522"
"13";"EII";"3";"6015";"-23055.64";"20.5216394"
"14";"VII";"3";"6015";"-20702.52";" 8.2208569"
"15";"EII";"4";"6015";"-22480.06";"17.5128017"
"16";"VII";"4";"6015";"-20216.76";" 5.6815599"
"17";"EII";"5";"6015";"-22200.91";"16.0535896"
"18";"VII";"5";"6015";"-19129.88";" 0.0000000"
