"";"1";"2";"3";"4";"5";"class"
"AL";3,13179255418087e-20;2,04212177516088e-24;1,98464529540806e-11;0,99997511418623;2,48857939236899e-05;4
"AK";5,34994844605571e-59;9,03784172681348e-39;1,30889444281261e-25;8,94306877824176e-64;1;5
"AZ";1,66318129035991e-08;3,86261818676593e-08;0,994025597396408;8,49682671009823e-09;0,0059743388487708;3
"AR";7,38565292370374e-14;1,15119039061718e-13;4,26571995070788e-08;0,999962780520196;3,71768224156962e-05;4
"CA";2,79961822925324e-17;7,29702602442653e-21;1,15848994080967e-07;1,98094459388727e-32;0,999999884151006;5
"CO";6,34426363452185e-07;0,999372539548792;3,77456713056696e-05;1,50963084098406e-26;0,000589080353538395;2
"CT";4,87773060420666e-06;0,99849966922168;0,000931530664253246;3,26198099172755e-25;0,000563922383462732;2
"DE";0,280461305918349;0,639008447285327;0,0751765220532473;2,35520481565258e-11;0,00535372471952442;2
"FL";0,00553145133006078;2,26956827706276e-09;0,937699037435605;6,3299324883813e-08;0,0567694456654412;3
"GA";5,93774953648392e-14;1,02756134341659e-20;6,88102046302096e-11;0,999944973731889;5,5026199241832e-05;4
"HI";2,0095662963719e-17;3,41919694902342e-09;0,997286453911868;3,46376795992179e-23;0,00271354266893526;3
"ID";1,04635539771931e-07;0,999871736216331;0,000106972836398519;3,28863115280184e-20;2,11863117307173e-05;2
"IL";0,998700416943092;5,28237919507352e-08;1,75140911778929e-06;1,58867115215419e-15;0,00129777882399688;1
"IN";0,959367258298114;0,0403624545878141;0,000206056394167243;3,14749595023626e-13;6,42307195902676e-05;1
"IA";3,41882240426563e-09;0,999987926810244;6,74919961853824e-06;1,11056146222319e-28;5,32057131479377e-06;2
"KS";2,08115234731270e-07;0,999137075519575;0,000833039804414564;7,08681785279964e-25;2,96765607758751e-05;2
"KY";4,6448469031665e-09;6,82935922855661e-12;1,93108144293038e-08;0,999949635637989;5,03403995204416e-05;4
"LA";2,46130736982543e-25;1,98759960851159e-27;4,38959960206605e-12;0,999815859291846;0,000184140703764586;4
"ME";4,50693937962389e-08;0,999704941363896;1,21788856357634e-06;4,76007216580177e-16;0,000293795678146222;2
"MD";0,998240914013983;0,000126288485722499;0,00111043390677739;9,64110940207273e-14;0,000522363593421041;1
"MA";0,00391722609139013;0,95354261575403;0,0420505046682275;4,94953870306005e-19;0,000489653486353264;2
"MI";0,999768872775674;1,09522109947293e-06;5,57568652040228e-06;4,57098176067353e-13;0,000224456316249439;1
"MN";1,24948361327326e-09;0,999981432535568;1,48113279005941e-06;6,40141001669058e-30;1,70850821580487e-05;2
"MS";8,76905129903621e-26;2,47062436896621e-26;1,05709396268483e-14;0,99998833839569;1,16616042980395e-05;4
"MO";0,997514359481406;0,00145384586938855;0,00047942698483515;9,49632171162966e-08;0,000552272701152702;1
"MT";6,6008940077243e-07;0,999254405122824;1,60613819365337e-05;8,2149466950411e-20;0,000728873405838307;2
"NE";7,14269301291866e-10;0,999986261925766;9,0854805854294e-06;2,915806418102e-27;4,65187937902672e-06;2
"NV";1,57485639615330e-08;1,82032766235044e-05;1,95940004225613e-07;1,29646621895788e-23;0,999981585034808;5
"NH";3,31974957259189e-08;0,999993819196943;2,21010781788788e-07;2,55738637524951e-22;5,92659477983175e-06;2
"NJ";0,996260851119147;0,00247906212149975;0,000856318072878118;8,29613959491689e-17;0,000403768686475452;1
"NM";4,2855332167003e-09;4,5171884758944e-06;0,00129077317534915;0,021606470131799;0,977098235218843;5
"NY";0,000200127361571657;1,7200059205456e-13;8,36026209261375e-06;3,26230862961647e-15;0,99979151237616;5
"NC";1,05720838525358e-10;3,31963066030861e-16;4,0488498885442e-10;0,999987442510046;1,25569793474390e-05;4
"ND";3,68112318889669e-11;0,999813299808926;1,91195132947258e-07;1,70747273147949e-29;0,000186508959130195;2
"OH";0,999823354326498;5,77389509916016e-05;9,5073225834212e-06;2,25058751046779e-15;0,000109399399925019;1
"OK";0,0154346575771812;0,541853149421249;0,437373536247638;2,92012420635935e-07;0,00533836474151116;2
"OR";1,28083936105701e-07;0,0459172929989594;0,953285921157134;1,57722883149902e-21;0,000796657759970365;3
"PA";0,999240317159455;2,08579693829313e-05;7,11977630476638e-06;5,67716627614967e-13;0,000731705094289911;1
"RI";7,22092422461572e-06;0,998582413429107;0,000865989204169176;3,82102018858221e-14;0,000544376442461116;2
"SC";5,3324850839445e-21;3,89010234877833e-24;3,49866683798282e-14;0,999996018249404;3,98175056130904e-06;4
"SD";3,36360485643788e-11;0,99999343919957;4,46402535953934e-08;1,86812924860764e-25;6,51612654003842e-06;2
