"";"1";"2";"3";"4";"class"
"AL";0,999999999915982;8,40177649324801e-11;4,09462277485401e-24;1,43157745579974e-18;1
"AK";0;1;3,64106044311455e-178;7,40290092953698e-43;2
"AZ";2,57616241228488e-42;0,0109406884968868;4,99465517838476e-06;0,989054316847935;4
"AR";0,999995914327762;4,08550105402567e-06;3,30410411324639e-17;1,71184329658238e-10;1
"CA";2,72996092369827e-136;1;5,74837973840566e-18;1,32355421950898e-40;2
"CO";2,75053205053005e-75;3,37613701442143e-08;7,53284750120608e-18;0,99999996623863;4
"CT";3,91953096259573e-44;4,72882114721766e-20;2,11159555721165e-12;0,999999999997888;4
"DE";2,72982560236168e-31;1,26468375390214e-08;0,522650926710435;0,477349060642727;3
"FL";1,74948208117807e-23;0,00965082694630916;0,99034914765645;2,53972417380800e-08;3
"GA";0,999999917526497;8,24735032178733e-08;2,35452016424166e-24;3,05717098213012e-16;1
"HI";1,32273311210897e-58;3,24262460730139e-08;3,77591623588929e-32;0,999999967573754;4
"ID";2,15578152913552e-48;5,63934036262853e-13;1,22684385614905e-11;0,999999999987168;4
"IL";1,02353370802469e-34;0,0005711580584948;0,99942884194134;1,65783728738038e-13;3
"IN";9,57797366745564e-23;4,94082190144309e-08;0,988650204231972;0,011349746359809;3
"IA";5,29356920354584e-49;4,28485302847767e-25;5,24555992054121e-17;1;4
"KS";3,93992282146409e-53;2,96427737563409e-16;2,27598320423447e-17;1;4
"KY";0,999994773801758;5,22599606709908e-06;4,12689475843414e-16;2,02173917401594e-10;1
"LA";0,999999846955476;1,53044524603733e-07;5,92475052105658e-32;3,6188569758912e-19;1
"ME";2,77225367105667e-28;4,43316502377481e-21;0,00013727788877436;0,999862722111226;4
"MD";1,97076574766936e-27;3,11274101232685e-05;0,999536109443166;0,000432763146710893;3
"MA";1,45437445063356e-44;4,12797089481078e-18;4,77577515161078e-07;0,999999522422485;4
"MI";2,81404868745035e-28;0,000287919698912767;0,99971208000547;2,95616234673940e-10;3
"MN";8,20381033410352e-48;6,59069186858136e-25;2,36674941607850e-20;1;4
"MS";0,999999841635073;1,58364926940408e-07;2,6638546128134e-37;9,94426084970315e-19;1
"MO";6,27440001526132e-12;0,000410674558515464;0,997889119613535;0,00170020582167493;3
"MT";4,64090652479733e-67;5,33707781312892e-12;6,75577089377509e-11;0,999999999927105;4
"NE";1,9232254917614e-51;1,37723412977806e-22;4,57386037480392e-18;1;4
"NV";9,55544269691998e-83;0,999755034272794;1,76997417905759e-19;0,000244965727205634;2
"NH";1,37048792326593e-43;9,93441372986687e-20;4,11316282278151e-07;0,999999588683718;4
"NJ";2,79017407393611e-31;6,54802154440729e-12;0,999707701178743;0,000292298814709377;3
"NM";1,80961690343792e-33;0,999558298348054;9,55068672775404e-10;0,000441700696877283;2
"NY";1,78125706865223e-55;0,005789549850281;0,99421045014972;2,6004715959265e-31;3
"NC";0,999993881681701;6,11831785821064e-06;2,79432692827363e-20;4,40625094708205e-13;1
"ND";1,14049433994569e-31;1,68972680383026e-28;2,24423198408054e-16;1;4
"OH";2,83285182809613e-32;8,88128962895762e-08;0,999999910755562;4,31542025961478e-10;3
"OK";2,21660484885903e-16;1,02667974979148e-08;0,00615503182596753;0,993844957907235;4
"OR";1,46958381633330e-54;1,52902422067226e-16;1,64674529727213e-14;0,999999999999983;4
"PA";2,34565154119392e-27;1,34453082252876e-10;0,999999999863095;2,45159359782203e-12;3
"RI";1,84489333948100e-16;1,27165924980023e-22;3,42863954734535e-08;0,999999965713604;4
"SC";0,999999768068647;2,31931353506291e-07;3,20606156946082e-39;3,03775390862137e-17;1
"SD";7,1720355822592e-33;2,70222292125385e-27;1,15856527815615e-11;0,999999999988414;4
"TN";0,9999915585486;8,44124452489454e-06;9,29394371406337e-12;1,97580912669719e-10;1
"TX";9,5248865951095e-124;1;3,14113447749775e-33;2,38148232146635e-22;2
"UT";5,7148828302475e-85;9,67629818990261e-16;1,96210567620017e-32;1;4
"VT";1,03404006827069e-39;6,91450069975644e-12;2,34721093426866e-08;0,999999976520976;4
"VA";1,04257127132090e-08;0,00189079304874036;0,998018320616949;9,0875908598104e-05;3
"WA";2,64887528687301e-64;2,19179004007073e-15;3,42305318339848e-14;0,999999999999964;4
"WV";0,999950384537496;2,22118301804272e-08;2,09464013162403e-11;4,959322972683e-05;1
"WI";4,58476044395617e-32;2,14505339488244e-21;7,31729769130142e-12;0,999999999992683;4
"WY";3,18690320027632e-66;8,91179745888533e-07;2,25992720539499e-10;0,999999108594261;4
